Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
FATE?,MID,14,28.60%,5.7,2.9,1.6,6.1,9,403,75.40%,30.5,532,1.02,0.45,0.2,0.21,345,-3,-141,28.60%,0%,0,5
Chovy?,MID,16,56.30%,6.6,4.1,1.6,6.6,9.8,454,63.40%,29.8,595,1.39,0.46,0.4,0.19,559,9,395,31.30%,0%,0,15
Ucal?,MID,12,58.30%,3.6,3.1,2.4,5.6,9.6,422,62.50%,29.2,573,1.02,0.44,0.26,0.14,1,6,170,0%,8.30%,0,3
Faker?,MID,6,33.30%,2.9,2.2,2.3,4.7,8.1,362,65%,28.5,455,1.09,0.45,0.25,0.15,-252,-2,-6,0%,0%,0,1
ShowMaker?,MID,14,71.40%,7,3.4,1.3,5.6,9.1,426,71%,27,557,1.48,0.48,0.23,0.16,487,7,131,28.60%,21.40%,0,5
Bdd?,MID,15,66.70%,4.7,2.9,1.8,5.6,8.7,393,63%,25.8,461,1,0.43,0.22,0.17,-106,-2,-119,26.70%,6.70%,0,3
SOLKA?,MID,17,52.90%,3.5,1.6,2.1,5.8,8.8,374,65.70%,24.8,451,1.19,0.63,0.23,0.31,-268,1,-21,17.60%,17.60%,0,-
Fly?,MID,13,53.80%,3.4,2.2,2.6,6.8,8.4,385,74.70%,24.7,433,1.06,0.47,0.26,0.22,-177,-7,-134,38.50%,7.70%,0,4
Lava?,MID,13,23.10%,2.2,1.3,2.5,4.3,8.2,361,63.70%,24.1,405,1.12,0.43,0.3,0.2,-438,-7,-288,23.10%,15.40%,0,1
Clozer?,MID,10,50%,3.2,2.2,2.4,5.5,9.2,401,54%,23.9,439,1,0.4,0.19,0.14,65,1,82,0%,0%,0,1
Bay?,MID,12,41.70%,2.5,1.7,2.5,4.5,8.4,368,59.10%,21.8,404,0.99,0.59,0.18,0.3,-465,-7,-115,16.70%,8.30%,0,1
